Date,ret_msft,ret_spx,ret_tsla
2000/1/4,-0.012869814,-0.01011297,-0.002511478
2000/1/5,0.006518964,-0.003240452,-0.078472736
2000/1/6,0.004749368,-0.004662369,-0.125683072
2000/1/7,0.023635552,0.005359034,-0.160937481
2000/1/10,0.020151446,0.031330816,-0.019242977
2000/1/11,0.004526967,0.009412678,0.105063627
2000/1/12,-0.005735805,0.007203888,-0.003436484
2000/1/13,0.023073632,0.000732902,-0.020114616
2000/1/14,0.012082371,0.015378879,0.063928951
2000/1/18,0.012335479,-0.000155132,0.093716177
2000/1/19,0.002752327,0.001196103,0.002519888
2000/1/20,-0.024304615,-0.028819473,0.037707445
2000/1/21,0.013659858,0.00598189,0.061531224
2000/1/24,0.009908998,0.011416551,-0.073482879
2000/1/25,-0.014128996,-0.012819817,-0.003940602
2000/1/26,0.028662773,0.022513373,0.038575612
2000/1/27,-0.001160636,0.008220021,0.013809289
2000/1/28,0.011235471,0.011200166,-0.015969457
2000/1/31,0.0022991,-0.001049357,-0.019093312
2000/2/1,-0.008027634,-0.006921965,0.008272255
2000/2/2,0.003082931,-0.004158621,-0.01785663
2000/2/3,-0.008451526,6.35E-05,-0.020147975
2000/2/4,0.020146972,0.022022522,0.04914802
2000/2/7,-0.006456491,-0.004796355,0.049234677
2000/2/8,-0.016437445,0.006051113,-0.031435089
2000/2/9,-0.01399181,-0.001268525,-0.038099741
2000/2/10,0.007095375,-0.003704039,-0.04205355
2000/2/11,0.002348009,0.005483064,0.000510701
2000/2/14,-0.021085385,-0.005967405,-0.029081616
2000/2/15,-0.008376169,-0.028178765,-0.0593804
2000/2/16,-0.014883128,-0.005378749,-0.016759765
2000/2/17,-0.003675366,-0.004023574,0.040909082
2000/2/18,0.004098161,0.000120459,0.025109406
2000/2/22,0.013951949,0.012192216,0.019702097
2000/2/23,0.004451805,0.001482779,-0.01984386
2000/2/24,-0.015310731,-0.016935392,0.001066025
2000/2/25,-0.008592446,-0.003663029,0.016497604
2000/2/28,0.002063561,-0.004040307,0.053927022
2000/2/29,-0.009884635,-0.014512433,-0.046199729
2000/3/1,0.002496111,0.003289343,0.036458579
2000/3/2,-0.011618663,-0.007684786,-0.00753768
2000/3/3,0.00461835,0.016586768,-0.002532095
2000/3/6,-0.012118738,-0.014719209,0.008629907
2000/3/7,-0.007191651,0.000390794,-0.019627592
2000/3/8,0.018322013,0.029504621,0.049794162
2000/3/9,0.001673374,0.009080836,0.029829145
2000/3/10,0.014619905,0.013219002,-0.000475139
2000/3/13,-0.013585838,-0.01147119,-0.024227978
2000/3/14,-0.001252068,0.006438699,0.017526729
2000/3/15,0.003342965,0.00483229,-0.009090424
2000/3/16,-0.006663962,0.004863333,-0.026074364
2000/3/17,0.052830028,0.011130616,0.027267745
2000/3/20,-0.003185575,-0.00071312,0.019305265
2000/3/21,0.003595237,0.003541139,0.040719455
2000/3/22,0.008360438,-0.000364344,-0.047315496
2000/3/23,-0.004342936,0.000826856,-0.033906161
2000/3/24,0.008326601,0.015209797,0.041027931
2000/3/27,-0.011010422,-0.00256402,-0.013769946
2000/3/28,-0.021471048,-0.004825493,-0.043331762
2000/3/29,-0.007314692,-0.008331341,-0.015601625
2000/3/30,0.014326877,0.021194393,0.027607372
2000/3/31,-0.00201766,-0.005667432,0.021393263
2000/4/3,-0.002021839,0.004850386,0.042376976
2000/4/4,-0.007293547,-0.002587759,0.027102338
2000/4/5,-0.000407519,-0.003083722,-0.07142813
2000/4/6,-0.004491897,0.004416438,0.00930866
2000/4/7,-0.01927855,-0.008034932,0.01893206
2000/4/10,0.018402418,0.020861341,0.00619366
2000/4/11,0.003285305,-0.000672005,-0.031250021
2000/4/12,0.004094043,-0.001646519,-0.001466257
2000/4/13,0.001630598,0.006122278,0
2000/4/14,0.00081362,0.000145837,-0.00930025
2000/4/17,0.009759921,0.003818757,0
2000/4/18,0.020539767,0.00712102,0.014822123
2000/4/19,-0.004340834,-0.003641386,0.010223911
2000/4/20,0.012286647,0.002027485,-0.01012044
2000/4/24,0.01096339,0.007243745,-0.015092021
2000/4/25,-0.027885044,-0.01587725,-0.008897737
2000/4/26,0.008366408,0.010524075,0.029925242
